Kari Takko,1962-01-01T00:00:00+02:00,1962-06-23,,{Finland|Uusikaupunki}
Timo Jutila,1963-01-01T00:00:00+02:00,1963-12-24,,{Finland|Tampere}
Hannu Virta,1963-01-01T00:00:00+02:00,1963-03-22,male,{Finland|Turku}
Simo Saarinen,1963-01-01T00:00:00+02:00,1963-02-14,,{Finland|Helsinki}
Jukka Rautakorpi,1963-01-01T00:00:00+02:00,1963-12-17,,{Finland|Kauhajoki}
Ari-Pekka Selin,1963-01-01T00:00:00+02:00,1963-05-17,male,{Finland|Pori}
Risto Dufva,1963-01-01T00:00:00+02:00,1963-05-01,male,{Finland|Jyväskylä}
Pekka Laksola,1964-01-01T00:00:00+02:00,1964-05-25,male,{Finland|Tampere}
Tomas Sandström,1964-01-01T00:00:00+02:00,1964-09-04,,{Finland|Jakobstad}
Kai Rautio,1964-01-01T00:00:00+02:00,1964-07-22,,{Finland|Oulu}
Raimo Helminen,1964-01-01T00:00:00+02:00,1964-03-11,male,{Finland|Tampere}
Terho Koskela,1964-01-01T00:00:00+02:00,1964-12-23,,{Finland|Salla}
Ville Sirén,1964-01-01T00:00:00+02:00,1964-02-11,male,{Finland|Tampere}
Christian Ruuttu,1964-01-01T00:00:00+02:00,1964-02-20,,{Finland|Lappeenranta}
Erik Hämäläinen,1965-01-01T00:00:00+02:00,1965-04-20,,{Finland|Rauma Finland}
Esa Keskinen,1965-01-01T00:00:00+02:00,1965-02-03,,{Finland|Ylöjärvi}
Esa Tikkanen,1965-01-01T00:00:00+02:00,1965-01-25,male,{Finland|Helsinki}
Mikko Mäkelä,1965-01-01T00:00:00+02:00,1965-02-28,male,{Finland|Tampere}
Jari Torkki,1965-01-01T00:00:00+02:00,1965-08-11,male,{Finland|Rauma Finland}
Jarmo Myllys,1965-01-01T00:00:00+02:00,1965-05-29,male,{Finland|Savonlinna}
Arto Blomsten,1965-01-01T00:00:00+02:00,1965-03-16,male,{Finland|Vaasa}
Mika Nieminen,1966-01-01T00:00:00+02:00,1966-01-01,male,{Finland|Tampere}
Mika Pieniniemi,1966-01-01T00:00:00+02:00,1966-04-26,male,{Finland|Oulu}
Jari Korpisalo,1966-01-01T00:00:00+02:00,1966-02-17,male,{Finland|Helsinki}
Jyrki Lumme,1966-01-01T00:00:00+02:00,1966-07-16,male,{Finland|Tampere}
Mikko Haapakoski,1967-01-01T00:00:00+02:00,1967-01-19,,{Finland|Oulu}
Markus Ketterer,1967-01-01T00:00:00+02:00,1967-08-23,male,{Finland|Helsinki}
Jari Laukkanen (ice hockey),1967-01-01T00:00:00+02:00,1967-06-21,,{Finland|Helsinki}
Waltteri Immonen,1967-01-01T00:00:00+02:00,1967-04-03,,{Finland|Helsinki}
Pekka Tirkkonen,1968-01-01T00:00:00+02:00,1968-07-17,male,{Finland|Savonlinna}
Peter Ahola,1968-01-01T00:00:00+02:00,1968-05-14,,{Finland|Espoo}
Marko Virtanen,1968-01-01T00:00:00+02:00,1968-12-10,male,{Finland|Jyväskylä}
Janne Ojanen,1968-01-01T00:00:00+02:00,1968-04-09,,{Finland|Tampere}
Pasi Arvonen,1968-01-01T00:00:00+02:00,1968-02-05,male,{Finland|Hämeenlinna}
Teppo Numminen,1968-01-01T00:00:00+02:00,1968-07-03,male,{Finland|Tampere}
Tero Arkiomaa,1968-01-01T00:00:00+02:00,1968-02-20,,{Finland|Helsinki}
Juha Riihijärvi,1969-01-01T00:00:00+02:00,1969-12-15,,{Finland|Keminmaa}
Kai Nurminen,1969-01-01T00:00:00+02:00,1969-03-29,,{Finland|Turku}
Ari Sulander,1969-01-01T00:00:00+02:00,1969-01-06,,{Finland|Helsinki}
Petri Varis,1969-01-01T00:00:00+02:00,1969-05-13,male,{Finland|Varkaus}
Mika Strömberg,1970-01-01T00:00:00+02:00,1970-02-28,male,{Finland|Helsinki}
Tuomas Tuokkola,1970-01-01T00:00:00+02:00,1970-01-20,male,{Finland|Alavus}
Janne Laukkanen,1970-01-01T00:00:00+02:00,1970-03-19,male,{Finland|Lahti}
Juha Ikonen,1970-01-01T00:00:00+02:00,1970-06-07,male,{Finland|Helsinki}
Antti Törmänen,1970-01-01T00:00:00+02:00,1970-09-19,male,{Finland|Espoo}
Teemu Selänne,1970-01-01T00:00:00+02:00,1970-07-03,male,{Finland|Helsinki}
Joni Lehto,1970-01-01T00:00:00+02:00,1970-07-15,,{Finland|Turku}
Keijo Säilynoja,1970-01-01T00:00:00+02:00,1970-02-17,,{Finland|Vantaa}
Mika Alatalo,1971-01-01T00:00:00+02:00,1971-06-11,male,{Finland|Oulu}
Tommy Kiviaho,1971-01-01T00:00:00+02:00,1971-06-27,male,{Finland|Helsinki}
Marko Jantunen,1971-01-01T00:00:00+02:00,1971-02-14,male,{Finland|Lahti}
Vesa Viitakoski,1971-01-01T00:00:00+02:00,1971-02-13,male,{Finland|Lappeenranta}
Kimmo Eronen,1971-01-01T00:00:00+02:00,1971-09-07,,{Finland|Turku}
Mikko Eloranta,1972-01-01T00:00:00+02:00,1972-08-24,male,{Finland|Aura Finland}
Sinuhe Wallinheimo,1972-01-01T00:00:00+02:00,1972-03-09,male,{Finland|Jyväskylä}
Jan Latvala,1972-01-01T00:00:00+02:00,1972-06-10,male,{Finland|Jyväskylä}
Juha Ylönen,1972-01-01T00:00:00+02:00,1972-02-13,male,{Finland|Helsinki}
Kalle Koskinen,1972-01-01T00:00:00+02:00,1972-01-03,,{Finland|Jyväskylä}
Petteri Nummelin,1972-01-01T00:00:00+02:00,1972-11-25,male,{Finland|Turku}
Timo Hirvonen,1973-01-01T00:00:00+02:00,1973-12-05,male,{Finland|Varkaus}
Fredrik Norrena,1973-01-01T00:00:00+02:00,1973-11-29,,{Finland|Jakobstad}
Mika Niskanen,1973-01-01T00:00:00+02:00,1973-07-24,,{Finland|Helsinki}
Mika Skyttä,1973-01-01T00:00:00+02:00,1973-04-25,male,{Finland|Varkaus}
Janne Grönvall,1973-01-01T00:00:00+02:00,1973-07-17,male,Finland
Jarno Kultanen,1973-01-01T00:00:00+02:00,1973-01-08,male,{Finland|Luumäki}
Pasi Saarela,1973-01-01T00:00:00+02:00,1973-08-24,male,{Finland|Laitila}
Riikka Nieminen,1973-01-01T00:00:00+02:00,1973-06-12,female,{Finland|Jyväskylä}
Ville Peltonen,1973-01-01T00:00:00+02:00,1973-03-24,male,{Finland|Vantaa}
Jere Lehtinen,1973-01-01T00:00:00+02:00,1973-06-24,male,{Finland|Espoo}
Sami Kapanen,1973-01-01T00:00:00+02:00,1973-06-14,male,{Finland|Vantaa}
Kari Haakana,1973-01-01T00:00:00+02:00,1973-11-08,,{Finland|Outokumpu}
Tom Koivisto,1974-01-01T00:00:00+02:00,1974-06-04,male,{Finland|Turku}
Tuomas Grönman,1974-01-01T00:00:00+02:00,1974-03-22,male,{Finland|Viitasaari}
