"","name","birthYear","birthDate","gender","birthplace","dates"
"44","Murray Dowey","1926-01-01T00:00:00+02:00","1926-01-03","male","{Toronto|Canada}",1926-01-03
"45","Bert Olmstead","1926-01-01T00:00:00+02:00","1926-09-04","male","{Saskatchewan|Canada|Sceptre Saskatchewan}",1926-09-04
"46","Allan Stanley","1926-01-01T00:00:00+02:00","1926-03-01","","{Ontario|Canada|Timmins}",1926-03-01
"47","Hy Buller","1926-01-01T00:00:00+02:00","1926-03-15","","{Canada|Montreal|Quebec}",1926-03-15
"48","Chick Zamick","1926-01-01T00:00:00+02:00","1926-04-16","male","{Manitoba|Winnipeg|Canada}",1926-04-16
"49","Clint Albright","1926-01-01T00:00:00+02:00","1926-02-28","male","{Manitoba|Winnipeg|Canada}",1926-02-28
"50","Kelly Burnett","1926-01-01T00:00:00+02:00","1926-06-16","male","{Lachine Quebec|Canada|Quebec}",1926-06-16
"51","Tod Sloan (ice hockey)","1927-01-01T00:00:00+02:00","1927-11-30","","{Canada|Litchfield Quebec|Quebec}",1927-11-30
"52","Tom McGrattan","1927-01-01T00:00:00+02:00","1927-10-19","","{Ontario|Brantford|Canada}",1927-10-19
"53","Hal Murphy","1927-01-01T00:00:00+02:00","1927-07-06","","{Canada|Montreal|Quebec}",1927-07-06
"54","Doug Anderson (ice hockey)","1927-01-01T00:00:00+02:00","1927-10-20","","{Alberta|Edmonton|Canada}",1927-10-20
"55","Val Delory","1927-01-01T00:00:00+02:00","1927-02-14","","{Ontario|Toronto|Canada}",1927-02-14
"56","Steve Black","1927-01-01T00:00:00+02:00","1927-03-31","","{Ontario|Canada|Fort William Ontario}",1927-03-31
"57","Lee Fogolin Sr.","1927-01-01T00:00:00+02:00","1927-02-27","male","{Ontario|Canada|Fort William Ontario}",1927-02-27
"58","Marcel Pelletier (ice hockey)","1927-01-01T00:00:00+02:00","1927-12-06","male","{Drummondville|Canada|Quebec}",1927-12-06
"59","Ed Harrison (ice hockey)","1927-01-01T00:00:00+02:00","1927-07-25","male","{Ontario|Mimico|Canada}",1927-07-25
"60","Barry Sullivan (ice hockey)","1927-01-01T00:00:00+02:00","1927-09-21","","{Ontario|Preston Ontario|Canada}",1927-09-21
"61","Armand Delmonte","1927-01-01T00:00:00+02:00","1927-06-03","","{Ontario|Canada|Timmins}",1927-06-03
"62","Art Hodgins","1927-01-01T00:00:00+02:00","1927-11-17","male","{Ontario|Canada|Timmins}",1927-11-17
"63","Ray Hannigan","1927-01-01T00:00:00+02:00","1927-07-14","male","{Ontario|Canada|Neighbourhoods in Timmins}",1927-07-14
"64","Red Kelly","1927-01-01T00:00:00+02:00","1927-07-09","male","{Ontario|Simcoe Ontario|Canada}",1927-07-09
"65","Phil Maloney","1927-01-01T00:00:00+02:00","1927-10-06","male","{Ontario|Ottawa|Canada}",1927-10-06
"66","Phil Samis","1927-01-01T00:00:00+02:00","1927-12-28","male","{Alberta|Edmonton|Canada}",1927-12-28
"67","Al Buchanan","1927-01-01T00:00:00+02:00","1927-05-17","","{Manitoba|Winnipeg|Canada}",1927-05-17
"68","Gilles Dubé","1927-01-01T00:00:00+02:00","1927-06-02","male","{Canada|Sherbrooke|Quebec}",1927-06-02
"69","Bill Barilko","1927-01-01T00:00:00+02:00","1927-03-25","","{Ontario|Canada|Timmins}",1927-03-25
"70","Bill Gadsby","1927-01-01T00:00:00+02:00","1927-08-08","male","{Alberta|Canada|Calgary}",1927-08-08
"71","Bob DeCourcy","1927-01-01T00:00:00+02:00","1927-06-12","male","{Ontario|Toronto|Canada}",1927-06-12
"72","Calum MacKay","1927-01-01T00:00:00+02:00","1927-01-01","","{Ontario|Toronto|Canada}",1927-01-01
"73","Wally Hergesheimer","1927-01-01T00:00:00+02:00","1927-01-08","male","{Manitoba|Winnipeg|Canada}",1927-01-08
"74","Jean Gravelle","1927-01-01T00:00:00+02:00","1927-12-07","male","{Aylmer Quebec|Canada}",1927-12-07
"75","Jim Bedard (ice hockey born 1927)","1927-01-01T00:00:00+02:00","1927-11-19","male","{Saskatchewan|Canada|Admiral Saskatchewan}",1927-11-19
"76","Len Wharton","1927-01-01T00:00:00+02:00","1927-12-13","","{Manitoba|Winnipeg|Canada}",1927-12-13
"77","Les Anning","1927-01-01T00:00:00+02:00","1927-03-17","male","{Rimouski|Canada|Quebec}",1927-03-17
"78","Fernie Flaman","1927-01-01T00:00:00+02:00","1927-01-25","male","{Saskatchewan|Dysart Saskatchewan|Canada}",1927-01-25
"79","Frank Ashworth","1927-01-01T00:00:00+02:00","1927-10-16","male","{Saskatchewan|Moose Jaw|Canada}",1927-10-16
"80","Marty Pavelich","1927-01-01T00:00:00+02:00","1927-11-06","male","{Ontario|Canada|Sault Ste. Marie Ontario}",1927-11-06
"81","Metro Prystai","1927-01-01T00:00:00+02:00","1927-11-07","male","{Saskatchewan|Yorkton|Canada}",1927-11-07
"82","Nick Mickoski","1927-01-01T00:00:00+02:00","1927-12-07","male","{Manitoba|Winnipeg|Canada}",1927-12-07
"83","Ike Hildebrand","1927-01-01T00:00:00+02:00","1927-05-27","male","{Manitoba|Winnipeg|Canada}",1927-05-27
"84","Jack Gordon (ice hockey)","1928-01-01T00:00:00+02:00","1928-03-03","male","{Manitoba|Winnipeg|Canada}",1928-03-03
"85","Jacques Deslauriers","1928-01-01T00:00:00+02:00","1928-09-03","","{Canada|Montreal|Quebec}",1928-09-03
"86","Tom Johnson (ice hockey)","1928-01-01T00:00:00+02:00","1928-02-18","male","{Manitoba|Canada|Baldur Manitoba}",1928-02-18
"87","Gordie Howe","1928-01-01T00:00:00+02:00","1928-03-31","","{Saskatchewan|Floral Saskatchewan|Canada}",1928-03-31
"88","Paul Ronty","1928-01-01T00:00:00+02:00","1928-06-12","male","{Ontario|Toronto|Canada}",1928-06-12
"89","Dick Gamble","1928-01-01T00:00:00+02:00","1928-11-16","male","{Moncton|New Brunswick|Canada}",1928-11-16
"90","Ross Lowe","1928-01-01T00:00:00+02:00","1928-09-21","","{Ontario|Oshawa|Canada}",1928-09-21
"91","Rudy Migay","1928-01-01T00:00:00+02:00","1928-11-18","","{Ontario|Port Arthur Ontario|Canada}",1928-11-18
"92","Harry Pidhirny","1928-01-01T00:00:00+02:00","1928-03-05","male","{Ontario|Toronto|Canada}",1928-03-05
"93","Larry Zeidel","1928-01-01T00:00:00+02:00","1928-06-01","male","{Canada|Montreal|Quebec}",1928-06-01
"94","Ed Sandford","1928-01-01T00:00:00+02:00","1928-08-20","male","{Ontario|New Toronto|Canada}",1928-08-20
"95","John McLellan","1928-01-01T00:00:00+02:00","1928-08-06","male","{Ontario|Canada|Neighbourhoods in Timmins}",1928-08-06
"96","Ray Gariepy","1928-01-01T00:00:00+02:00","1928-09-04","male","{Ontario|Toronto|Canada}",1928-09-04
"97","Alan Staley","1928-01-01T00:00:00+02:00","1928-09-21","","{Saskatchewan|Regina Saskatchewan|Canada}",1928-09-21
"98","George Robertson (ice hockey)","1928-01-01T00:00:00+02:00","1928-05-11","","{Manitoba|Winnipeg|Canada}",1928-05-11
"99","Gerry Reid (ice hockey)","1928-01-01T00:00:00+02:00","1928-11-18","male","{Ontario|Owen Sound|Canada}",1928-11-18
"100","Benny Woit","1928-01-01T00:00:00+02:00","1928-01-07","","{Ontario|Canada|Fort William Ontario}",1928-01-07
"101","Bill McDonagh","1928-01-01T00:00:00+02:00","1928-04-30","male","{Rouyn-Noranda|Canada|Quebec}",1928-04-30
"102","Bill Wylie","1928-01-01T00:00:00+02:00","1928-07-15","","{Ontario|Cambridge Ontario|Canada}",1928-07-15
"103","Bob Fryday","1928-01-01T00:00:00+02:00","1928-12-05","male","{Ontario|Toronto|Canada}",1928-12-05
"104","Max Quackenbush","1928-01-01T00:00:00+02:00","1928-08-29","","{Ontario|Toronto|Canada}",1928-08-29
"105","Norman Lowe","1928-01-01T00:00:00+02:00","1928-04-15","male","{Manitoba|Winnipeg|Canada}",1928-04-15
"106","Hugh Coflin","1928-01-01T00:00:00+02:00","1928-12-15","male","{Saskatchewan|Blaine Lake|Canada}",1928-12-15
"107","John Michaluk","1928-01-01T00:00:00+02:00","1928-11-02","","{Alberta|Canmore Alberta|Canada}",1928-11-02
"108","Jack LeClair","1929-01-01T00:00:00+02:00","1929-05-30","male","{Quebec City|Canada|Quebec}",1929-05-30
"109","Jacques Plante","1929-01-01T00:00:00+02:00","1929-01-17","male","{Notre-Dame-du-Mont-Carmel Quebec|Canada|Quebec}",1929-01-17
"110","Eric Paterson","1929-01-01T00:00:00+02:00","1929-09-11","male","{Alberta|Edmonton|Canada}",1929-09-11
"111","Terry Sawchuk","1929-01-01T00:00:00+02:00","1929-12-28","","{Manitoba|Winnipeg|Canada}",1929-12-28
"112","Gord Hannigan","1929-01-01T00:00:00+02:00","1929-01-19","","{Ontario|Canada|Neighbourhoods in Timmins}",1929-01-19
"113","Gump Worsley","1929-01-01T00:00:00+02:00","1929-05-14","male","{Canada|Montreal|Quebec}",1929-05-14
"114","Dollard St. Laurent","1929-01-01T00:00:00+02:00","1929-05-12","male","{Verdun Quebec|Canada|Quebec}",1929-05-12
"115","Donald Rope","1929-01-01T00:00:00+02:00","1929-02-02","","{Manitoba|Winnipeg|Canada}",1929-02-02
"116","Sid McNabney","1929-01-01T00:00:00+02:00","1929-01-15","male","{Ontario|Toronto|Canada}",1929-01-15
"117","Steve Witiuk","1929-01-01T00:00:00+02:00","1929-01-08","male","{Manitoba|Winnipeg|Canada}",1929-01-08
"118","Ed Stankiewicz","1929-01-01T00:00:00+02:00","1929-11-30","male","{Ontario|Kitchener Ontario|Canada}",1929-11-30
"119","Joe Crozier","1929-01-01T00:00:00+02:00","1929-02-19","","{Manitoba|Winnipeg|Canada}",1929-02-19
"120","Joe Nolan (ice hockey)","1929-01-01T00:00:00+02:00","1929-03-21","","{Ontario|Canada|Sault Ste. Marie Ontario}",1929-03-21
"121","Ray Ceresino","1929-01-01T00:00:00+02:00","1929-04-24","male","{Ontario|Port Arthur Ontario|Canada}",1929-04-24
"122","Ray Frederick","1929-01-01T00:00:00+02:00","1929-07-31","male","{Ontario|Canada|Fort Frances}",1929-07-31
"123","Al Millar","1929-01-01T00:00:00+02:00","1929-09-18","male","{Manitoba|Winnipeg|Canada}",1929-09-18
"124","George Blair (ice hockey)","1929-01-01T00:00:00+02:00","1929-09-15","male","{Ontario|Canada|Neighbourhoods in Timmins}",1929-09-15
"125","George Sullivan (ice hockey)","1929-01-01T00:00:00+02:00","1929-12-24","","{Ontario|Canada|Peterborough Ontario}",1929-12-24
"126","Gilles Mayer","1929-01-01T00:00:00+02:00","1929-08-24","","{Ontario|Ottawa|Canada}",1929-08-24
"127","Glen Sonmor","1929-01-01T00:00:00+02:00","1929-04-22","","{Saskatchewan|Moose Jaw|Canada}",1929-04-22
"128","Bob Hassard","1929-01-01T00:00:00+02:00","1929-03-26","","{Saskatchewan|Lloydminster|Canada}",1929-03-26
"129","Boris Elik","1929-01-01T00:00:00+02:00","1929-10-17","male","{Ontario|Greenstone Ontario|Canada}",1929-10-17
"130","Vic Howe","1929-01-01T00:00:00+02:00","1929-11-02","male","{Saskatchewan|Saskatoon|Canada}",1929-11-02
"131","Vic Stasiuk","1929-01-01T00:00:00+02:00","1929-05-23","male","{Alberta|Lethbridge|Canada}",1929-05-23
"132","Andy Hebenton","1929-01-01T00:00:00+02:00","1929-10-03","","{Manitoba|Winnipeg|Canada}",1929-10-03
"133","Fleming Mackell","1929-01-01T00:00:00+02:00","1929-04-30","","{Manitoba|Winnipeg|Canada|Montreal|Quebec}",1929-04-30
"134","Frank King (ice hockey)","1929-01-01T00:00:00+02:00","1929-03-07","","{Ontario|Toronto|Canada}",1929-03-07
"135","Jack Bownass","1930-01-01T00:00:00+02:00","1930-07-27","male","{Manitoba|Winnipeg|Canada}",1930-07-27
"136","Tim Horton","1930-01-01T00:00:00+02:00","1930-01-12","male","{Ontario|Cochrane Ontario|Canada}",1930-01-12
"137","Gordie Byers","1930-01-01T00:00:00+02:00","1930-03-11","","{Ontario|Eganville Ontario|Canada}",1930-03-11
"138","Denis Brodeur","1930-01-01T00:00:00+02:00","1930-10-12","","{Canada|Montreal|Quebec}",1930-10-12
"139","Larry Popein","1930-01-01T00:00:00+02:00","1930-08-11","male","{Saskatchewan|Yorkton|Canada}",1930-08-11
"140","Larry Regan","1930-01-01T00:00:00+02:00","1930-08-09","male","{Ontario|North Bay Ontario|Canada}",1930-08-09
"141","Larry Wilson (ice hockey)","1930-01-01T00:00:00+02:00","1930-10-23","","{Ontario|Kincardine Ontario|Canada}",1930-10-23
"142","Marcel Pronovost","1930-01-01T00:00:00+02:00","1930-06-15","male","{Canada|Quebec|Lac-à-la-Tortue Quebec}",1930-06-15
"143","Earl Reibel","1930-01-01T00:00:00+02:00","1930-07-21","","{Ontario|Kitchener Ontario|Canada}",1930-07-21
"144","Barton Bradley","1930-01-01T00:00:00+02:00","1930-07-29","","{Ontario|Canada|Fort William Ontario}",1930-07-29
"145","Reg Abbott","1930-01-01T00:00:00+02:00","1930-02-04","","{Manitoba|Winnipeg|Canada}",1930-02-04
"146","Dave Creighton","1930-01-01T00:00:00+02:00","1930-06-24","male","{Ontario|Port Arthur Ontario|Canada}",1930-06-24
"147","George Armstrong (ice hockey)","1930-01-01T00:00:00+02:00","1930-07-06","male","{Ontario|Nickel Centre|Canada}",1930-07-06
"148","Bill Mitchell (ice hockey)","1930-01-01T00:00:00+02:00","1930-02-22","male","{Ontario|Canada|Port Dalhousie Ontario}",1930-02-22
"149","Bob Chrystal","1930-01-01T00:00:00+02:00","1930-04-03","male","{Manitoba|Winnipeg|Canada}",1930-04-03
"150","Bob Wood (ice hockey)","1930-01-01T00:00:00+02:00","1930-07-09","","{Alberta|Lethbridge|Canada}",1930-07-09
"151","Bronco Horvath","1930-01-01T00:00:00+02:00","1930-03-12","","{Ontario|Port Colborne|Canada}",1930-03-12
"152","Lorne Davis","1930-01-01T00:00:00+02:00","1930-07-20","male","{Saskatchewan|Regina Saskatchewan|Canada}",1930-07-20
"153","Frank Bathgate","1930-01-01T00:00:00+02:00","1930-02-14","male","{Manitoba|Winnipeg|Canada}",1930-02-14
"154","Fred Burchell (ice hockey)","1931-01-01T00:00:00+02:00","1931-01-09","","{Canada|Montreal|Quebec}",1931-01-09
"155","Fred Hucul","1931-01-01T00:00:00+02:00","1931-12-04","","{Saskatchewan|Canada|Tubrose__Saskatchewan}",1931-12-04
"156","Dickie Moore (ice hockey)","1931-01-01T00:00:00+02:00","1931-01-06","male","{Canada|Montreal|Quebec}",1931-01-06
"157","Don Simmons (ice hockey)","1931-01-01T00:00:00+02:00","1931-09-13","male","{Ontario|Port Colborne|Canada}",1931-09-13
"158","Ron Hurst","1931-01-01T00:00:00+02:00","1931-05-18","male","{Ontario|Toronto|Canada}",1931-05-18
"159","Pierre Pilote","1931-01-01T00:00:00+02:00","1931-12-11","male","{Canada|Jonquière|Quebec}",1931-12-11
"160","Alex Delvecchio","1931-01-01T00:00:00+02:00","1931-12-04","male","{Ontario|Canada|Fort William Ontario}",1931-12-04
"161","Danny Lewicki","1931-01-01T00:00:00+02:00","1931-03-12","male","{Ontario|Canada|Fort William Ontario}",1931-03-12
"162","George McAvoy","1931-01-01T00:00:00+02:00","1931-06-21","","{Alberta|Edmonton|Canada}",1931-06-21
"163","Glen Skov","1931-01-01T00:00:00+02:00","1931-01-26","male","{Ontario|Wheatley Ontario|Canada}",1931-01-26
"164","Glenn Hall","1931-01-01T00:00:00+02:00","1931-10-03","male","{Saskatchewan|Canada|Humboldt Saskatchewan}",1931-10-03
"165","Bernie Geoffrion","1931-01-01T00:00:00+02:00","1931-02-14","male","{Canada|Montreal|Quebec}",1931-02-14
"166","Bob Armstrong (ice hockey)","1931-01-01T00:00:00+02:00","1931-04-07","","{Ontario|Toronto|Canada}",1931-04-07
"167","Jean Béliveau","1931-01-01T00:00:00+02:00","1931-08-31","male","{Trois-Rivières|Canada|Quebec}",1931-08-31
"168","Jerry Toppazzini","1931-01-01T00:00:00+02:00","1931-07-29","male","{Ontario|Urban neighbourhoods of Sudbury|Canada}",1931-07-29
"169","Jim Hay","1931-01-01T00:00:00+02:00","1931-05-15","male","{Saskatchewan|Saskatoon|Canada}",1931-05-15
"170","Jim Morrison (ice hockey)","1931-01-01T00:00:00+02:00","1931-10-11","male","{Canada|Montreal|Quebec}",1931-10-11
"171","Len Haley","1931-01-01T00:00:00+02:00","1931-09-15","","{Alberta|Edmonton|Canada}",1931-09-15
"172","Lorne Anderson","1931-01-01T00:00:00+02:00","1931-07-26","male","{Ontario|Renfrew Ontario|Canada}",1931-07-26
"173","Lou Jankowski","1931-01-01T00:00:00+02:00","1931-06-27","male","{Saskatchewan|Regina Saskatchewan|Canada}",1931-06-27
"174","Warren Godfrey","1931-01-01T00:00:00+02:00","1931-03-23","male","{Ontario|Toronto|Canada}",1931-03-23
"175","Willie Marshall","1931-01-01T00:00:00+02:00","1931-12-01","male","{Ontario|Kirkland Lake|Canada}",1931-12-01
"176","Hank Bassen","1932-01-01T00:00:00+02:00","1932-12-06","male","{Alberta|Canada|Calgary}",1932-12-06
"177","Garry Edmundson","1932-01-01T00:00:00+02:00","1932-05-06","male","{Alberta|Sexsmith Alberta|Canada}",1932-05-06
"178","Gene Achtymichuk","1932-01-01T00:00:00+02:00","1932-09-07","","{Alberta|Canada|Lamont Alberta}",1932-09-07
"179","Pete Conacher","1932-01-01T00:00:00+02:00","1932-07-29","male","{Ontario|Toronto|Canada}",1932-07-29
"180","Don Marshall","1932-01-01T00:00:00+02:00","1932-03-23","male","{Verdun Quebec|Canada|Quebec}",1932-03-23
"181","Don Poile","1932-01-01T00:00:00+02:00","1932-06-01","male","{Ontario|Canada|Fort William Ontario}",1932-06-01
"182","Ron Stewart","1932-01-01T00:00:00+02:00","1932-07-11","","{Alberta|Canada|Calgary}",1932-07-11
"183","Ross Parke","1932-01-01T00:00:00+02:00","1932-02-18","male","{Manitoba|Winnipeg|Canada}",1932-02-18
"184","Mike Buchanan","1932-01-01T00:00:00+02:00","1932-03-01","male","{Ontario|Canada|Sault Ste. Marie Ontario}",1932-03-01
"185","Harry Howell (ice hockey)","1932-01-01T00:00:00+02:00","1932-12-28","male","{Hamilton Ontario|Ontario|Canada}",1932-12-28
"186","Harry Sinden","1932-01-01T00:00:00+02:00","1932-09-14","male","{Ontario|Weston Ontario|Canada}",1932-09-14
"187","Jean-Guy Talbot","1932-01-01T00:00:00+02:00","1932-07-11","","{Cap-de-la-Madeleine Quebec|Canada|Quebec}",1932-07-11
"188","Ed Litzenberger","1932-01-01T00:00:00+02:00","1932-07-15","","{Saskatchewan|Canada|Neudorf Saskatchewan}",1932-07-15
"189","Al Arbour","1932-01-01T00:00:00+02:00","1932-11-01","","{Ontario|Canada|Greater Sudbury}",1932-11-01
"190","Aldo Guidolin","1932-01-01T00:00:00+02:00","1932-06-06","male","{Ontario|Caledon Ontario|Canada}",1932-06-06
"191","Dave Lucas","1932-01-01T00:00:00+02:00","1932-03-22","","{Ontario|Kawartha Lakes|Canada}",1932-03-22
"192","Dean Prentice","1932-01-01T00:00:00+02:00","1932-10-05","","{Ontario|Canada|Neighbourhoods in Timmins}",1932-10-05
"193","Gerry Ehman","1932-01-01T00:00:00+02:00","1932-11-03","male","{Saskatchewan|Canada|Cudworth Saskatchewan}",1932-11-03
"194","Bill Burega","1932-01-01T00:00:00+02:00","1932-03-13","","{Manitoba|Winnipeg|Canada}",1932-03-13
"195","Bill Dineen","1932-01-01T00:00:00+02:00","1932-09-18","male","{Arvida Quebec|Canada|Quebec}",1932-09-18
"196","Bill MacFarland","1932-01-01T00:00:00+02:00","1932-04-04","male","{Ontario|Toronto|Canada}",1932-04-04
"197","Jim Bartlett","1932-01-01T00:00:00+02:00","1932-05-27","","{Verdun Quebec|Canada|Quebec}",1932-05-27
"198","Andy Bathgate","1932-01-01T00:00:00+02:00","1932-08-28","","{Manitoba|Winnipeg|Canada}",1932-08-28
"199","Leo Boivin","1932-01-01T00:00:00+02:00","1932-08-02","","{Ontario|Prescott Ontario|Canada}",1932-08-02
"200","Lou Fontinato","1932-01-01T00:00:00+02:00","1932-01-20","","{Ontario|Guelph|Canada}",1932-01-20
"201","Maurice Benoit","1932-01-01T00:00:00+02:00","1932-07-26","male","{Salaberry-de-Valleyfield|Canada|Quebec}",1932-07-26
"202","Maurice Filion","1932-01-01T00:00:00+02:00","1932-02-12","male","{Canada|Montreal|Quebec}",1932-02-12
"203","Norm Johnson (ice hockey)","1932-01-01T00:00:00+02:00","1932-11-27","male","{Saskatchewan|Moose Jaw|Canada}",1932-11-27
"204","Connie Broden","1932-01-01T00:00:00+02:00","1932-04-06","male","{Canada|Montreal|Quebec}",1932-04-06
"205","Ken Schinkel","1932-01-01T00:00:00+02:00","1932-11-27","","{Saskatchewan|Canada|Jansen Saskatchewan}",1932-11-27
"206","Eric Nesterenko","1933-01-01T00:00:00+02:00","1933-10-31","male","{Manitoba|Flin Flon|Canada}",1933-10-31
"207","Fred Sasakamoose","1933-01-01T00:00:00+02:00","1933-12-25","male","{Saskatchewan|Canada|Ahtahkakoop Indian Reserve No. 104}",1933-12-25
"208","Garry Blaine","1933-01-01T00:00:00+02:00","1933-04-19","","{Manitoba|Saint Boniface Winnipeg|Canada}",1933-04-19
"209","Paul Knox","1933-01-01T00:00:00+02:00","1933-11-23","","{Ontario|Toronto|Canada}",1933-11-23
"210","Don Head (ice hockey)","1933-01-01T00:00:00+02:00","1933-06-30","","{Ontario|York Ontario|Canada}",1933-06-30
"211","Doug Mohns","1933-01-01T00:00:00+02:00","1933-12-13","male","{Ontario|Capreol|Canada}",1933-12-13
"212","Ron Murphy","1933-01-01T00:00:00+02:00","1933-04-10","","{Hamilton Ontario|Ontario|Canada}",1933-04-10
"213","Val Fonteyne","1933-01-01T00:00:00+02:00","1933-12-02","male","{Alberta|Canada|Wetaskiwin}",1933-12-02
"214","Seth Martin","1933-01-01T00:00:00+02:00","1933-05-04","male","{British Columbia|Canada|Rossland British Columbia}",1933-05-04
