"","name","birthYear","birthDate","gender","birthplace","dates"
"1","Jack Jackson (ice hockey)","1925-01-01T00:00:00+02:00","1925-05-03","","{Ontario|Windsor Ontario|Canada}",1925-05-03
"2","Jack Miller (ice hockey)","1925-01-01T00:00:00+02:00","1925-09-16","male","{Saskatchewan|Canada|Delisle Saskatchewan}",1925-09-16
"3","Enio Sclisizzi","1925-01-01T00:00:00+02:00","1925-08-01","male","{Ontario|Milton Ontario|Canada}",1925-08-01
"4","Gus Mortson","1925-01-01T00:00:00+02:00","1925-01-24","male","{Ontario|Temiskaming Shores|Canada}",1925-01-24
"5","Fred Shero","1925-01-01T00:00:00+02:00","1925-10-23","male","{Manitoba|Winnipeg|Canada}",1925-10-23
"6","Dick Kotanen","1925-01-01T00:00:00+02:00","1925-11-18","","{Ontario|Port Arthur Ontario|Canada}",1925-11-18
"7","Don Campbell (ice hockey)","1925-01-01T00:00:00+02:00","1925-07-12","","{Alberta|Drumheller|Canada}",1925-07-12
"8","Don Gallinger","1925-01-01T00:00:00+02:00","1925-04-16","male","{Ontario|Port Colborne|Canada}",1925-04-16
"9","Sid Smith (ice hockey)","1925-01-01T00:00:00+02:00","1925-07-11","male","{Ontario|Toronto|Canada}",1925-07-11
"10","Harry Bell (ice hockey)","1925-01-01T00:00:00+02:00","1925-10-31","","{Saskatchewan|Regina Saskatchewan|Canada}",1925-10-31
"11","Henri-André Laperrière","1925-01-01T00:00:00+02:00","1925-06-12","male","{Canada|Montreal}",1925-06-12
"12","Ed Kryzanowski","1925-01-01T00:00:00+02:00","1925-11-14","male","{Ontario|Canada|Fort Frances}",1925-11-14
"13","Eddie Mazur","1925-01-01T00:00:00+02:00","1925-07-25","male","{Manitoba|Winnipeg|Canada}",1925-07-25
"14","John McCormack (ice hockey)","1925-01-01T00:00:00+02:00","1925-08-02","male","{Alberta|Edmonton|Canada}",1925-08-02
"15","Ralph Nattrass","1925-01-01T00:00:00+02:00","1925-05-26","male","{Saskatchewan|Canada|Gainsborough Saskatchewan}",1925-05-26
"16","Reg Sinclair","1925-01-01T00:00:00+02:00","1925-03-06","male","{Lachine Quebec|Canada|Quebec}",1925-03-06
"17","Al Rittinger","1925-01-01T00:00:00+02:00","1925-01-28","male","{Saskatchewan|Regina Saskatchewan|Canada}",1925-01-28
"18","Ted Kennedy (ice hockey)","1925-01-01T00:00:00+02:00","1925-12-12","male","{Ontario|Port Colborne|Canada}",1925-12-12
"19","Ted Lindsay","1925-01-01T00:00:00+02:00","1925-07-29","male","{Ontario|Renfrew Ontario|Canada}",1925-07-29
"20","Bep Guidolin","1925-01-01T00:00:00+02:00","1925-12-09","male","{Ontario|Thorold|Canada}",1925-12-09
"21","Vic Lynn","1925-01-01T00:00:00+02:00","1925-01-26","male","{Saskatchewan|Saskatoon|Canada}",1925-01-26
"22","Wally Halder","1925-01-01T00:00:00+02:00","1925-09-15","male","{Toronto|Canada}",1925-09-15
"23","Leo Gravelle","1925-01-01T00:00:00+02:00","1925-06-10","male","{Aylmer Quebec|Canada|Quebec}",1925-06-10
"24","Hugh Currie","1925-01-01T00:00:00+02:00","1925-10-22","","{Saskatchewan|Saskatoon|Canada}",1925-10-22
"25","Sam Pollock","1925-01-01T00:00:00+02:00","1925-12-25","male","{Canada|Montreal|Quebec}",1925-12-25
"26","Johnny Harms","1925-01-01T00:00:00+02:00","1925-04-29","male","{Saskatoon|Canada}",1925-04-29
"27","Johnny Peirson","1925-01-01T00:00:00+02:00","1925-07-21","","{Manitoba|Winnipeg|Canada}",1925-07-21
"28","Jack Stoddard","1926-01-01T00:00:00+02:00","1926-09-26","male","{Ontario|Canada|Stoney Creek Ontario}",1926-09-26
"29","Emile Francis","1926-01-01T00:00:00+02:00","1926-09-13","male","{Saskatchewan|North Battleford|Canada}",1926-09-13
"30","Eric Prentice","1926-01-01T00:00:00+02:00","1926-08-22","male","{Ontario|Canada|Neighbourhoods in Timmins}",1926-08-22
"31","Gord Fashoway","1926-01-01T00:00:00+02:00","1926-06-16","male","{Manitoba|Portage la Prairie|Canada}",1926-06-16
"32","Gordon Buttrey","1926-01-01T00:00:00+02:00","1926-03-17","male","{Saskatchewan|Regina Saskatchewan|Canada}",1926-03-17
"33","Gordon Henry (ice hockey)","1926-01-01T00:00:00+02:00","1926-08-17","male","{Ontario|Owen Sound|Canada}",1926-08-17
"34","Pete Leichnitz","1926-01-01T00:00:00+02:00","1926-07-28","male","{Ontario|Ottawa|Canada}",1926-07-28
"35","Dick Butler (ice hockey)","1926-01-01T00:00:00+02:00","1926-06-02","","{Saskatchewan|Canada|Delisle Saskatchewan}",1926-06-02
"36","Don Raleigh","1926-01-01T00:00:00+02:00","1926-06-27","","{Ontario|Kenora|Canada}",1926-06-27
"37","Steve Hrymnak","1926-01-01T00:00:00+02:00","1926-03-03","","{Ontario|Port Arthur Ontario|Canada}",1926-03-03
"38","Harry Lumley (ice hockey)","1926-01-01T00:00:00+02:00","1926-11-11","","{Ontario|Owen Sound|Canada}",1926-11-11
"39","Joe Schmidt (ice hockey)","1926-01-01T00:00:00+02:00","1926-11-05","male","{Saskatchewan|Canada|Odessa Saskatchewan}",1926-11-05
"40","Al Rollins","1926-01-01T00:00:00+02:00","1926-10-09","","{Saskatchewan|Vanguard Saskatchewan|Canada}",1926-10-09
"41","Ted Hibberd","1926-01-01T00:00:00+02:00","1926-04-26","male","{Ottawa|Canada}",1926-04-26
"42","George Beach","1926-01-01T00:00:00+02:00","1926-10-04","","{Saskatchewan|Regina Saskatchewan|Canada}",1926-10-04
"43","Gerry McNeil","1926-01-01T00:00:00+02:00","1926-04-17","male","{Quebec City|Canada|Quebec}",1926-04-17
