"","name","birthYear","birthDate","gender","birthplace","dates"
"1","Ethan Moreau","1975-01-01T00:00:00+02:00","1975-09-22","male","{Ontario|Huntsville Ontario|Canada}",1975-09-22
"2","Etienne Beaudry","1975-01-01T00:00:00+02:00","1975-10-16","male","{Canada|Montreal|Quebec}",1975-10-16
"3","Todd Bertuzzi","1975-01-01T00:00:00+02:00","1975-02-02","","{Ontario|Canada|Regional Municipality of Sudbury}",1975-02-02
"4","Todd Harvey","1975-01-01T00:00:00+02:00","1975-02-17","","{Hamilton Ontario|Ontario|Canada}",1975-02-17
"5","Todd Kelman","1975-01-01T00:00:00+02:00","1975-01-05","male","{Alberta|Canada|Calgary}",1975-01-05
"6","Todd White","1975-01-01T00:00:00+02:00","1975-05-21","male","{Ontario|Kanata Ontario|Canada}",1975-05-21
"7","Greg Koehler","1975-01-01T00:00:00+02:00","1975-02-27","male","{Ontario|Scarborough Ontario|Canada}",1975-02-27
"8","Yannick Tremblay (ice hockey born 1975)","1975-01-01T00:00:00+02:00","1975-11-15","male","{Pointe-aux-Trembles|Canada|Quebec}",1975-11-15
"9","Frederik Beaubien","1975-01-01T00:00:00+02:00","1975-04-01","male","{Canada|Lauzon Quebec|Quebec}",1975-04-01
"10","Garrett Burnett","1975-01-01T00:00:00+02:00","1975-09-23","","{British Columbia|Coquitlam|Canada}",1975-09-23
"11","Patrick Boileau","1975-01-01T00:00:00+02:00","1975-02-22","male","{Canada|Montreal|Quebec}",1975-02-22
"12","Patrick Côté (ice hockey)","1975-01-01T00:00:00+02:00","1975-01-24","male","{LaSalle Quebec|Canada|Quebec}",1975-01-24
"13","Paul Healey","1975-01-01T00:00:00+02:00","1975-03-20","male","{Alberta|Edmonton|Canada}",1975-03-20
"14","Pete Vandermeer","1975-01-01T00:00:00+02:00","1975-10-14","male","{Alberta|Canada|Red Deer Alberta}",1975-10-14
"15","Peter Brearley","1975-01-01T00:00:00+02:00","1975-06-27","male","{Ontario|Chatham-Kent|Canada}",1975-06-27
"16","Peter Leboutillier","1975-01-01T00:00:00+02:00","1975-01-11","male","{Manitoba|Minnedosa Manitoba|Canada}",1975-01-11
"17","Denis Pederson","1975-01-01T00:00:00+02:00","1975-09-10","male","{Saskatchewan|Prince Albert Saskatchewan|Canada}",1975-09-10
"18","Derek Bekar","1975-01-01T00:00:00+02:00","1975-09-15","male","{British Columbia|Canada|Burnaby}",1975-09-15
"19","Derek Landmesser","1975-01-01T00:00:00+02:00","1975-01-27","","{Ontario|Canada|Thunder Bay}",1975-01-27
"20","Rod Branch","1975-01-01T00:00:00+02:00","1975-04-14","","{British Columbia|Fort St. John British Columbia|Canada}",1975-04-14
"21","Ryan Bast","1975-01-01T00:00:00+02:00","1975-08-27","male","{Saskatchewan|Regina Saskatchewan|Canada}",1975-08-27
"22","Ryan Tocher","1975-01-01T00:00:00+02:00","1975-06-14","","{Hamilton Ontario|Ontario|Canada}",1975-06-14
"23","Sébastien Bordeleau","1975-01-01T00:00:00+02:00","1975-02-15","","{British Columbia|Vancouver|Canada}",1975-02-15
"24","Mike Legg","1975-01-01T00:00:00+02:00","1975-05-25","male","{Ontario|London Ontario|Canada}",1975-05-25
"25","Mike Wilson (ice hockey)","1975-01-01T00:00:00+02:00","1975-02-26","male","{Ontario|Brampton|Canada}",1975-02-26
"26","Travis Scott (ice hockey)","1975-01-01T00:00:00+02:00","1975-09-14","male","{Ontario|Kanata Ontario|Canada}",1975-09-14
"27","Tyler Moss","1975-01-01T00:00:00+02:00","1975-06-29","male","{Ontario|Ottawa|Canada}",1975-06-29
"28","Tyson Nash","1975-01-01T00:00:00+02:00","1975-03-11","male","{Alberta|Edmonton|Canada}",1975-03-11
"29","Serge Aubin","1975-01-01T00:00:00+02:00","1975-02-15","","{Val-d'Or|Canada|Quebec}",1975-02-15
"30","Shane Hnidy","1975-01-01T00:00:00+02:00","1975-11-08","male","{Manitoba|Canada|Neepawa}",1975-11-08
"31","Shayne Toporowski","1975-01-01T00:00:00+02:00","1975-08-06","male","{Saskatchewan|Canada|Paddockwood Saskatchewan}",1975-08-06
"32","Shean Donovan","1975-01-01T00:00:00+02:00","1975-01-22","male","{Ontario|Canada|Timmins}",1975-01-22
"33","Steve Brûlé","1975-01-01T00:00:00+02:00","1975-01-15","male","{Canada|Montreal|Quebec}",1975-01-15
"34","Steve McLaren","1975-01-01T00:00:00+02:00","1975-02-03","male","{Ontario|Owen Sound|Canada}",1975-02-03
"35","Steve Plouffe","1975-01-01T00:00:00+02:00","1975-11-23","","{Canada|Montreal|Quebec}",1975-11-23
"36","Steve Washburn","1975-01-01T00:00:00+02:00","1975-04-10","","{Ontario|Ottawa|Canada}",1975-04-10
"37","Steve Webb (ice hockey)","1975-01-01T00:00:00+02:00","1975-04-20","male","{Ontario|Canada|Peterborough Ontario}",1975-04-20
"38","Larry Courville","1975-01-01T00:00:00+02:00","1975-04-02","male","{Ontario|Canada|Timmins}",1975-04-02
"39","Jamie Allison","1975-01-01T00:00:00+02:00","1975-05-13","male","{Ontario|Lindsay Ontario|Canada}",1975-05-13
"40","Jamie Rivers","1975-01-01T00:00:00+02:00","1975-03-16","male","{Ontario|Ottawa|Canada}",1975-03-16
"41","Jamie Storr","1975-01-01T00:00:00+02:00","1975-12-28","","{Ontario|Brampton|Canada}",1975-12-28
"42","Jason Allison","1975-01-01T00:00:00+02:00","1975-05-29","male","{Ontario|Toronto|Canada}",1975-05-29
"43","Jason Duda","1975-01-01T00:00:00+02:00","1975-05-05","male","{Alberta|Sexsmith Alberta|Canada}",1975-05-05
"44","Jason Elliott","1975-01-01T00:00:00+02:00","1975-11-10","","{Northwest Territories|Inuvik|Canada}",1975-11-10
"45","Jason Krog","1975-01-01T00:00:00+02:00","1975-10-09","","{British Columbia|Fernie British Columbia|Canada}",1975-10-09
