Göran Högosta,1954-01-01T00:00:00+02:00,1954-04-15,male,{Sweden|Äppelbo}
Roland Eriksson,1954-01-01T00:00:00+02:00,1954-03-01,,{Sweden|Borlänge Municipality}
Sören Johansson,1954-01-01T00:00:00+02:00,1954-07-11,male,Sweden
Ulf Isaksson,1954-01-01T00:00:00+02:00,1954-03-19,male,{Sweden|Rosersberg}
Stefan Persson (ice hockey),1954-01-01T00:00:00+02:00,1954-12-22,male,{Sweden|Bjurholm}
Bengt Lundholm,1955-01-01T00:00:00+02:00,1955-08-04,,{Sweden|Falun}
Bo Berglund,1955-01-01T00:00:00+02:00,1955-04-06,male,{Sweden|Ångermanland}
Jörgen Pettersson (ice hockey),1956-01-01T00:00:00+02:00,1956-07-11,male,{Gothenburg|Sweden}
Thomas Gradin,1956-01-01T00:00:00+02:00,1956-02-18,male,{Sweden|Sollefteå}
Göran Lindblom,1956-01-01T00:00:00+02:00,1956-03-04,male,Sweden
Peter Lindmark,1956-01-01T00:00:00+02:00,1956-11-08,male,{Sweden|Kiruna}
Roger Melin,1956-01-01T00:00:00+02:00,1956-04-25,male,{Sweden|Enköping}
Lars Molin (ice hockey),1956-01-01T00:00:00+02:00,1956-05-07,male,{Sweden|Örnsköldsvik}
Björn Johansson,1956-01-01T00:00:00+02:00,1956-01-15,male,{Sweden|Örebro}
Anders Håkansson,1956-01-01T00:00:00+02:00,1956-04-27,male,{Sweden|Munkfors}
Kent Johansson,1956-01-01T00:00:00+02:00,1956-04-13,,{Sweden|Katrineholm}
Kent Nilsson,1956-01-01T00:00:00+02:00,1956-08-31,male,{Sweden|Nynäshamn}
Thomas Hedin,1957-01-01T00:00:00+02:00,1957-07-05,,Sweden
Peter Loob,1957-01-01T00:00:00+02:00,1957-07-23,male,{Visby|Sweden}
Hans Särkijärvi,1957-01-01T00:00:00+02:00,1957-03-03,male,{Sweden|Kiruna}
Harald Lückner,1957-01-01T00:00:00+02:00,1957-03-27,male,{Sweden|Mariestad}
Anders Karlsson (ice hockey),1957-01-01T00:00:00+02:00,1957-08-05,,Sweden
Per-Erik Johnsson,1958-01-01T00:00:00+02:00,1958-12-04,male,{Sweden|Karlstad}
