"","name","birthYear","birthDate","gender","birthplace","dates"
"59","Walt Ledingham","1950-01-01T00:00:00+02:00","1950-10-26","male","{Saskatchewan|Midale Saskatchewan|Canada}",1950-10-26
"60","Jim Hargreaves","1950-01-01T00:00:00+02:00","1950-05-02","male","{Manitoba|Winnipeg|Canada}",1950-05-02
"61","Jim Pearson (ice hockey)","1950-01-01T00:00:00+02:00","1950-05-10","male","{Ontario|Ottawa|Chatham-Kent|Canada}",1950-05-10
"62","Jim Wiley","1950-01-01T00:00:00+02:00","1950-04-28","male","{Ontario|Canada|Sault Ste. Marie Ontario}",1950-04-28
"63","Norm Gratton","1950-01-01T00:00:00+02:00","1950-12-22","male","{LaSalle Quebec|Canada|Quebec}",1950-12-22
"64","Hilliard Graves","1950-01-01T00:00:00+02:00","1950-10-18","male","{New Brunswick|Saint John New Brunswick|Canada}",1950-10-18
"65","Howie Colborne","1950-01-01T00:00:00+02:00","1950-06-28","","{Alberta|Canada|Peace River Alberta}",1950-06-28
"66","Chris Oddleifson","1950-01-01T00:00:00+02:00","1950-09-07","male","{Manitoba|Brandon Manitoba|Canada}",1950-09-07
"67","Wayne Fleming","1950-01-01T00:00:00+02:00","1950-07-06","male","{Manitoba|Snow Lake Manitoba|Canada}",1950-07-06
"68","Wendell Bennett","1950-01-01T00:00:00+02:00","1950-03-24","male","{Saskatchewan|Loon Lake Saskatchewan|Canada}",1950-03-24
"69","Connie Forey","1950-01-01T00:00:00+02:00","1950-10-18","male","{Canada|Montreal|Quebec}",1950-10-18
"70","Dale Tallon","1950-01-01T00:00:00+02:00","1950-10-19","","{Rouyn-Noranda|Canada|Quebec}",1950-10-19
"71","Dan Bouchard","1950-01-01T00:00:00+02:00","1950-12-12","male","{Val-d'Or|Canada|Quebec}",1950-12-12
"72","Dan Maloney","1950-01-01T00:00:00+02:00","1950-09-24","","{Ontario|Barrie|Canada}",1950-09-24
"73","Terry O'Reilly","1951-01-01T00:00:00+02:00","1951-06-07","","{Ontario|Niagara Falls Ontario|Canada}",1951-06-07
"74","Guy Lafleur","1951-01-01T00:00:00+02:00","1951-09-20","male","{Thurso Quebec|Canada|Quebec}",1951-09-20
"75","Yvon Bilodeau","1951-01-01T00:00:00+02:00","1951-01-18","male","{Alberta|Canada|Vimy Alberta}",1951-01-18
"76","Gene Carr (ice hockey)","1951-01-01T00:00:00+02:00","1951-09-17","male","{British Columbia|Nanaimo|Canada}",1951-09-17
"77","Gene Sobchuk","1951-01-01T00:00:00+02:00","1951-02-19","male","{Saskatchewan|Canada|Lang Saskatchewan}",1951-02-19
"78","Derek Harker","1951-01-01T00:00:00+02:00","1951-01-07","male","{Alberta|Edmonton|Canada}",1951-01-07
"79","Don McCulloch","1951-01-01T00:00:00+02:00","1951-03-23","male","{Ontario|Northeastern Manitoulin and the Islands|Canada}",1951-03-23
"80","Ron Morgan","1951-01-01T00:00:00+02:00","1951-05-25","","{Ontario|Toronto|Canada}",1951-05-25
"81","Michel DeGuise","1951-01-01T00:00:00+02:00","1951-11-06","male","{Sorel-Tracy|Canada|Quebec}",1951-11-06
"82","Mike Busniuk","1951-01-01T00:00:00+02:00","1951-12-13","male","{Ontario|Canada|Thunder Bay}",1951-12-13
"83","Sean Shanahan","1951-01-01T00:00:00+02:00","1951-02-08","male","{Ontario|Toronto|Canada}",1951-02-08
"84","Steve Durbano","1951-01-01T00:00:00+02:00","1951-12-12","","{Ontario|Toronto|Canada}",1951-12-12
"85","Steve Vickers (ice hockey)","1951-01-01T00:00:00+02:00","1951-04-21","","{Ontario|Toronto|Canada}",1951-04-21
"86","Steve Warr (ice hockey)","1951-01-01T00:00:00+02:00","1951-01-05","male","{Ontario|Canada|Peterborough Ontario}",1951-01-05
"87","Larry Robinson","1951-01-01T00:00:00+02:00","1951-06-02","male","{Ontario|North Dundas Ontario|Canada}",1951-06-02
"88","Larry Wright (ice hockey)","1951-01-01T00:00:00+02:00","1951-10-08","male","{Saskatchewan|Regina Saskatchewan|Canada}",1951-10-08
"89","Marcel Dionne","1951-01-01T00:00:00+02:00","1951-08-03","","{Drummondville|Canada|Quebec}",1951-08-03
"90","John Garrett (ice hockey)","1951-01-01T00:00:00+02:00","1951-06-17","","{Ontario|Trenton Ontario|Canada}",1951-06-17
"91","Angus Beck","1951-01-01T00:00:00+02:00","1951-07-02","male","{Prince Edward Island|Canada}",1951-07-02
"92","Ralph Hopiavuori","1951-01-01T00:00:00+02:00","1951-07-15","male","{Ontario|Kirkland Lake|Canada}",1951-07-15
"93","Pierre Plante","1951-01-01T00:00:00+02:00","1951-05-14","male","{Salaberry-de-Valleyfield|Canada|Quebec}",1951-05-14
"94","Alan Globensky","1951-01-01T00:00:00+02:00","1951-04-17","male","{Canada|Montreal|Quebec}",1951-04-17
"95","Richard Coutu","1951-01-01T00:00:00+02:00","1951-05-03","male","{Canada|Montreal|Quebec}",1951-05-03
"96","Richard Dumas (ice hockey)","1951-01-01T00:00:00+02:00","1951-08-21","","{Granby Quebec|Canada|Quebec}",1951-08-21
"97","Rick Bragnalo","1951-01-01T00:00:00+02:00","1951-12-01","","{Ontario|Canada|Fort William Ontario}",1951-12-01
"98","Rick Kehoe","1951-01-01T00:00:00+02:00","1951-07-15","","{Ontario|Windsor Ontario|Canada}",1951-07-15
"99","Rick Martin","1951-01-01T00:00:00+02:00","1951-07-26","male","{Verdun Quebec|Canada|Quebec}",1951-07-26
"100","Robert Murray (ice hockey born 1951)","1951-01-01T00:00:00+02:00","1951-10-17","male","{Alberta|Canada|Calgary}",1951-10-17
"101","Ted Scharf","1951-01-01T00:00:00+02:00","1951-10-03","male","{Ontario|Canada|Greater Sudbury}",1951-10-03
"102","Dave Fortier","1951-01-01T00:00:00+02:00","1951-06-17","","{Ontario|Canada|Greater Sudbury}",1951-06-17
"103","Dave Kryskow","1951-01-01T00:00:00+02:00","1951-12-25","male","{Alberta|Edmonton|Canada}",1951-12-25
"104","Gerry Methe","1951-01-01T00:00:00+02:00","1951-12-12","","{Ontario|Ottawa|Canada}",1951-12-12
"105","Glen Irwin","1951-01-01T00:00:00+02:00","1951-03-01","male","{Alberta|Edmonton|Canada}",1951-03-01
"106","Bill Hajt","1951-01-01T00:00:00+02:00","1951-11-18","male","{Saskatchewan|Canada|Radisson Saskatchewan}",1951-11-18
"107","Bob Boyd (ice hockey)","1951-01-01T00:00:00+02:00","1951-11-27","male","{Ontario|Toronto|Canada}",1951-11-27
"108","Bob Murphy (ice hockey)","1951-01-01T00:00:00+02:00","1951-01-27","","{Ontario|Toronto|Canada}",1951-01-27
"109","Bob Richer","1951-01-01T00:00:00+02:00","1951-03-05","male","{Canada|Quebec|Cowansville}",1951-03-05
"110","Bobby Lalonde","1951-01-01T00:00:00+02:00","1951-03-27","male","{Canada|Montreal|Quebec}",1951-03-27
"111","Brian McKenzie (ice hockey)","1951-01-01T00:00:00+02:00","1951-03-16","","{Ontario|Canada|St. Catharines}",1951-03-16
"112","Brian Stapleton","1951-01-01T00:00:00+02:00","1951-12-25","","{Ontario|Fort Erie Ontario|Canada}",1951-12-25
"113","Bruce Abbey","1951-01-01T00:00:00+02:00","1951-08-18","male","{Ontario|Canada|Central Elgin}",1951-08-18
"114","Bruce Cowick","1951-01-01T00:00:00+02:00","1951-08-18","","{British Columbia|Victoria British Columbia|Canada}",1951-08-18
"115","Jerome Mrazek","1951-01-01T00:00:00+02:00","1951-10-15","male","{Saskatchewan|Prince Albert Saskatchewan|Canada}",1951-10-15
"116","Jerry Butler (ice hockey)","1951-01-01T00:00:00+02:00","1951-02-27","male","{Ontario|Sarnia|Canada}",1951-02-27
"117","Jim Collins (ice hockey)","1951-01-01T00:00:00+02:00","1951-08-13","male","{Manitoba|Canada|Thompson Manitoba}",1951-08-13
"118","Jim Nahrgang","1951-01-01T00:00:00+02:00","1951-04-17","male","{Ontario|Canada|Perth East Ontario}",1951-04-17
"119","Jim Witherspoon","1951-01-01T00:00:00+02:00","1951-10-03","","{Ontario|Toronto|Canada}",1951-10-03
"120","Jocelyn Guevremont","1951-01-01T00:00:00+02:00","1951-03-01","male","{Canada|Montreal|Quebec}",1951-03-01
"121","Neil Komadoski (ice hockey b. 1951)","1951-01-01T00:00:00+02:00","1951-11-05","male","{Manitoba|Winnipeg|Canada}",1951-11-05
"122","Normand Cournoyer","1951-01-01T00:00:00+02:00","1951-03-17","male","{Drummondville|Canada|Quebec}",1951-03-17
"123","Chuck Arnason","1951-01-01T00:00:00+02:00","1951-07-15","","{Manitoba|Ashern Manitoba|Canada}",1951-07-15
"124","Camille LaPierre","1951-01-01T00:00:00+02:00","1951-02-08","male","{Canada|Chicoutimi|Quebec}",1951-02-08
"125","Wayne King (ice hockey)","1951-01-01T00:00:00+02:00","1951-09-04","","{Ontario|Midland Ontario|Canada}",1951-09-04
"126","Corky de Graauw","1951-01-01T00:00:00+02:00","1951-02-23","male","{Canada|Bladel}",1951-02-23
"127","Craig Ramsay","1951-01-01T00:00:00+02:00","1951-03-17","","{Ontario|Weston Ontario|Canada}",1951-03-17
"128","Dan Spring (ice hockey)","1951-01-01T00:00:00+02:00","1951-10-31","male","{British Columbia|Canada|Rossland British Columbia}",1951-10-31
"129","Ken Hitchcock","1951-01-01T00:00:00+02:00","1951-12-17","male","{Alberta|Edmonton|Canada}",1951-12-17
"130","Jack Lynch (ice hockey)","1952-01-01T00:00:00+02:00","1952-05-28","","{Ontario|Toronto|Canada}",1952-05-28
"131","Jack McIlhargey","1952-01-01T00:00:00+02:00","1952-03-07","male","{Alberta|Edmonton|Canada}",1952-03-07
"132","Jacques Martin (ice hockey)","1952-01-01T00:00:00+02:00","1952-10-01","male","{Ontario|Clarence-Rockland|Canada}",1952-10-01
"133","Jacques Richard","1952-01-01T00:00:00+02:00","1952-10-07","male","{Quebec City|Canada|Quebec}",1952-10-07
"134","Terry Ryan (ice hockey born 1952)","1952-01-01T00:00:00+02:00","1952-09-10","","{Newfoundland and Labrador|Grand Falls-Windsor|Canada}",1952-09-10
"135","Terry Smith (ice hockey)","1952-01-01T00:00:00+02:00","1952-06-30","male","{Alberta|Edmonton|Canada}",1952-06-30
"136","Tim Jacobs","1952-01-01T00:00:00+02:00","1952-03-28","","{Ontario|Keswick Ontario|Canada}",1952-03-28
"137","Tom Bladon","1952-01-01T00:00:00+02:00","1952-12-29","male","{Alberta|Edmonton|Canada}",1952-12-29
"138","Graham James (ice hockey)","1952-01-01T00:00:00+02:00","1952-02-07","","{Prince Edward Island|Summerside Prince Edward Island|Canada}",1952-02-07
"139","Yves Archambault","1952-01-01T00:00:00+02:00","1952-06-22","male","{Canada|Montreal|Quebec}",1952-06-22
"140","Yves Bélanger","1952-01-01T00:00:00+02:00","1952-09-30","male","{Baie-Comeau|Canada|Quebec}",1952-09-30
"141","Yves Bergeron","1952-01-01T00:00:00+02:00","1952-01-11","male","{Malartic Quebec|Canada|Quebec}",1952-01-11
"142","Garry Howatt","1952-01-01T00:00:00+02:00","1952-09-26","male","{Alberta|Canada|Grand Centre Alberta}",1952-09-26
"143","Gary Winchester","1952-01-01T00:00:00+02:00","1952-09-08","male","{Alberta|Canada|Calgary}",1952-09-08
"144","Paul Menard (ice hockey)","1952-01-01T00:00:00+02:00","1952-05-22","","{Canada|Quebec|Chambord Quebec}",1952-05-22
"145","Paul Shakes","1952-01-01T00:00:00+02:00","1952-09-04","","{Ontario|Collingwood Ontario|Canada}",1952-09-04
"146","Peter McNab","1952-01-01T00:00:00+02:00","1952-05-08","","{British Columbia|Vancouver|Canada}",1952-05-08
"147","Denis Herron","1952-01-01T00:00:00+02:00","1952-06-18","","{Canada men's national ice hockey team|Chambly Quebec|Canada|Quebec}",1952-06-18
"148","Denis Meloche","1952-01-01T00:00:00+02:00","1952-06-19","male","{Canada|Montreal|Quebec}",1952-06-19
"149","Dennis McCord (ice hockey)","1952-01-01T00:00:00+02:00","1952-07-28","","{Ontario|Chatham-Kent|Canada}",1952-07-28
"150","Don Howse","1952-01-01T00:00:00+02:00","1952-07-28","","{Newfoundland and Labrador|Grand Falls-Windsor|Canada}",1952-07-28
"151","Don Lever","1952-01-01T00:00:00+02:00","1952-11-14","","{Ontario|Canada|Neighbourhoods in Timmins}",1952-11-14
"152","Don Martineau","1952-01-01T00:00:00+02:00","1952-04-25","male","{British Columbia|Canada|Kimberley British Columbia}",1952-04-25
"153","Rychard Campeau","1952-01-01T00:00:00+02:00","1952-04-09","male","{Canada|Montreal|Quebec}",1952-04-09
"154","Michel Boudreau","","1952-09-26","","{Canada|Asbestos Quebec|Quebec}",1952-09-26
"155","Michel Plante","1952-01-01T00:00:00+02:00","1952-01-19","male","{Drummondville|Canada|Quebec}",1952-01-19
"156","Mike Amodeo","1952-01-01T00:00:00+02:00","1952-06-22","male","{Ontario|Toronto|Canada}",1952-06-22
"157","Mike Ford (ice hockey)","1952-01-01T00:00:00+02:00","1952-07-26","","{Ontario|Ottawa|Canada}",1952-07-26
"158","Mike Veisor","1952-01-01T00:00:00+02:00","1952-08-25","male","{Ontario|Toronto|Canada}",1952-08-25
"159","Steve Shutt","1952-01-01T00:00:00+02:00","1952-07-01","male","{Ontario|North York|Canada|Willowdale Toronto}",1952-07-01
"160","Steve Stone (ice hockey)","1952-01-01T00:00:00+02:00","1952-09-26","","{Ontario|Toronto|Canada}",1952-09-26
"161","Kirk Bowman","1952-01-01T00:00:00+02:00","1952-09-30","male","{Ontario|Leamington Ontario|Canada}",1952-09-30
"162","Larry Bolonchuk","1952-01-01T00:00:00+02:00","1952-02-26","male","{Manitoba|Winnipeg|Canada}",1952-02-26
"163","Larry Carriere","1952-01-01T00:00:00+02:00","1952-01-30","male","{Canada|Montreal|Quebec}",1952-01-30
"164","Larry Gould (ice hockey)","1952-01-01T00:00:00+02:00","1952-08-16","male","{Ontario|Alliston|Canada}",1952-08-16
"165","Larry Israelson","1952-01-01T00:00:00+02:00","1952-08-02","male","{Alberta|Canada|Didsbury Alberta}",1952-08-02
"166","Dwight Bialowas","1952-01-01T00:00:00+02:00","1952-09-08","male","{Saskatchewan|Regina Saskatchewan|Canada}",1952-09-08
"167","Ed Gilbert (ice hockey)","1952-01-01T00:00:00+02:00","1952-03-12","male","{Hamilton Ontario|Ontario|Canada}",1952-03-12
"168","Pat Boutette","1952-01-01T00:00:00+02:00","1952-03-01","","{Ontario|Windsor Ontario|Canada}",1952-03-01
"169","Randy Osburn","1952-01-01T00:00:00+02:00","1952-11-26","","{Ontario|Collingwood Ontario|Canada}",1952-11-26
"170","Ray Delorenzi","1952-01-01T00:00:00+02:00","1952-06-14","","{Ontario|Canada|Sault Ste. Marie Ontario}",1952-06-14
"171","Rich Preston","1952-01-01T00:00:00+02:00","1952-05-22","male","{Saskatchewan|Regina Saskatchewan|Canada}",1952-05-22
"172","Phil Russell (ice hockey)","1952-01-01T00:00:00+02:00","1952-07-21","male","{Alberta|Edmonton|Canada}",1952-07-21
"173","Pierre Guité","1952-01-01T00:00:00+02:00","1952-04-17","male","{Canada|Montreal|Quebec}",1952-04-17
"174","Pierre Hamel","1952-01-01T00:00:00+02:00","1952-09-16","male","{Canada|Montreal|Quebec}",1952-09-16
"175","Pierre Henry (ice hockey)","1952-01-01T00:00:00+02:00","1952-03-10","","{Canada|Montreal|Quebec}",1952-03-10
"176","Pierre Viau","1952-01-01T00:00:00+02:00","1952-01-29","","{Canada|Montreal|Quebec}",1952-01-29
"177","Réjean Giroux","1952-01-01T00:00:00+02:00","1952-09-13","male","{Quebec City|Canada|Quebec}",1952-09-13
"178","Al Blanchard","1952-01-01T00:00:00+02:00","1952-06-12","male","{Ontario|Canada|Greater Sudbury}",1952-06-12
"179","Al MacAdam","1952-01-01T00:00:00+02:00","1952-03-16","male","{Prince Edward Island|Canada|Charlottetown}",1952-03-16
"180","Alan MacKenzie (ice hockey)","1952-01-01T00:00:00+02:00","1952-02-02","","{Ontario|Windsor Ontario|Canada}",1952-02-02
"181","Richard Brodeur","1952-01-01T00:00:00+02:00","1952-09-15","","{Canada|Longueuil|Quebec}",1952-09-15
"182","Ted Lenssen","1952-01-01T00:00:00+02:00","1952-05-17","male","{Ontario|Canada|Oakville}",1952-05-17
"183","Danny Gruen","1952-01-01T00:00:00+02:00","1952-06-26","male","{Ontario|Canada|Thunder Bay}",1952-06-26
"184","Dave Gardner (ice hockey)","1952-01-01T00:00:00+02:00","1952-08-23","","{Ontario|Toronto|Canada}",1952-08-23
"185","Dave Henderson (ice hockey)","1952-01-01T00:00:00+02:00","1952-03-03","","{Manitoba|Winnipeg|Canada}",1952-03-03
"186","Dave Leslie Kelly","1952-01-01T00:00:00+02:00","1952-09-20","male","{Ontario|Canada|Wallaceburg}",1952-09-20
"187","Dave McLelland","1952-01-01T00:00:00+02:00","1952-11-20","","{British Columbia|Penticton|Canada}",1952-11-20
"188","Dave Murphy (ice hockey)","1952-01-01T00:00:00+02:00","1952-04-16","male","{Moncton|New Brunswick|Canada}",1952-04-16
"189","Dave Walter (ice hockey)","1952-01-01T00:00:00+02:00","1952-05-06","","{Ontario|Niagara Falls Ontario|Canada}",1952-05-06
"190","George Ferguson (ice hockey)","1952-01-01T00:00:00+02:00","1952-08-22","male","{Ontario|Trenton Ontario|Canada}",1952-08-22
"191","George Kuzmicz","1952-01-01T00:00:00+02:00","1952-05-24","male","{Canada|Montreal|Quebec}",1952-05-24
"192","Bernie Lukowich","1952-01-01T00:00:00+02:00","1952-03-18","male","{Saskatchewan|North Battleford|Canada}",1952-03-18
"193","Bill Barber","1952-01-01T00:00:00+02:00","1952-07-11","male","{Ontario|Callander Ontario|Canada}",1952-07-11
"194","Billy Harris (ice hockey born 1952)","1952-01-01T00:00:00+02:00","1952-01-29","","{Ontario|Toronto|Canada}",1952-01-29
"195","Bob Dupuis","1952-01-01T00:00:00+02:00","1952-08-26","","{Ontario|Canada|Blind River Ontario}",1952-08-26
"196","Brian Bowles (ice hockey)","1952-01-01T00:00:00+02:00","1952-02-18","male","{Drummondville|Canada|Quebec}",1952-02-18
"197","Brian Ogilvie","1952-01-01T00:00:00+02:00","1952-01-30","","{Alberta|Canada|Stettler Alberta}",1952-01-30
"198","Brian Walker (ice hockey)","1952-01-01T00:00:00+02:00","1952-05-04","male","{Alberta|Canada|Beaverlodge}",1952-05-04
"199","Bryan McSheffrey","1952-01-01T00:00:00+02:00","1952-09-25","male","{Ontario|Ottawa|Canada}",1952-09-25
"200","Jean Lemieux","1952-01-01T00:00:00+02:00","1952-05-31","male","{Rouyn-Noranda|Canada|Quebec}",1952-05-31
"201","Jerry Byers","1952-01-01T00:00:00+02:00","1952-03-29","male","{Nova Scotia|Kentville|Canada}",1952-03-29
"202","Jim McMasters","1952-01-01T00:00:00+02:00","1952-09-20","male","{Alberta|High River|Canada}",1952-09-20
"203","Jim Schoenfeld","1952-01-01T00:00:00+02:00","1952-09-04","male","{Ontario|Cambridge Ontario|Canada}",1952-09-04
"204","Jimmy Watson (ice hockey)","1952-01-01T00:00:00+02:00","1952-08-19","","{British Columbia|Canada|Smithers British Columbia}",1952-08-19
"205","Lorne Henning","1952-01-01T00:00:00+02:00","1952-02-22","male","{Saskatchewan|Canada|Melfort Saskatchewan}",1952-02-22
"206","Marty Gateman","1952-01-01T00:00:00+02:00","1952-12-07","male","{Ontario|Canada|Southampton Ontario}",1952-12-07
"207","Chris Meloff","1952-01-01T00:00:00+02:00","1952-05-07","male","{Ontario|Toronto|Canada}",1952-05-07
"208","Scott Garland (ice hockey)","1952-01-01T00:00:00+02:00","1952-05-16","","{Saskatchewan|Regina Saskatchewan|Canada}",1952-05-16
"209","Warren Anderson (ice hockey)","1952-01-01T00:00:00+02:00","1952-04-13","male","{Ontario|Toronto|Canada}",1952-04-13
"210","Wayne Merrick","1952-01-01T00:00:00+02:00","1952-04-23","","{Ontario|Sarnia|Canada}",1952-04-23
"211","D'Arcy Keating","1952-01-01T00:00:00+02:00","1952-12-12","male","{Ontario|Oshawa|Canada}",1952-12-12
"212","Dan Newman (ice hockey)","1952-01-01T00:00:00+02:00","1952-01-26","male","{Ontario|Windsor Ontario|Canada}",1952-01-26
