"","name","birthYear","birthDate","gender","birthplace","dates"
"1","Jack Taggart","1950-01-01T00:00:00+02:00","1950-02-03","male","{Alberta|Canada|Calgary}",1950-02-03
"2","Errol Thompson (ice hockey)","1950-01-01T00:00:00+02:00","1950-05-28","male","{Prince Edward Island|Summerside Prince Edward Island|Canada}",1950-05-28
"3","Gord Brooks","1950-01-01T00:00:00+02:00","1950-09-11","","{Ontario|Cobourg|Canada}",1950-09-11
"4","Greg Polis","1950-01-01T00:00:00+02:00","1950-08-08","","{Alberta|Canada|Westlock Alberta}",1950-08-08
"5","Guy Smith (ice hockey)","1950-01-01T00:00:00+02:00","1950-01-02","male","{Ontario|Ottawa|Canada}",1950-01-02
"6","Hank Nowak","1950-01-01T00:00:00+02:00","1950-11-24","male","{Ontario|Oshawa|Canada}",1950-11-24
"7","Yvon Lambert","1950-01-01T00:00:00+02:00","1950-05-20","male","{Drummondville|Canada|Quebec}",1950-05-20
"8","Fred Barrett (ice hockey)","1950-01-01T00:00:00+02:00","1950-01-26","male","{Ontario|Ottawa|Canada}",1950-01-26
"9","Gary Bromley","1950-01-01T00:00:00+02:00","1950-01-19","male","{Alberta|Edmonton|Canada}",1950-01-19
"10","Gary Connelly","1950-01-01T00:00:00+02:00","1950-12-22","","{Rouyn-Noranda|Canada|Quebec}",1950-12-22
"11","Gary Cunningham (ice hockey)","1950-01-01T00:00:00+02:00","1950-08-28","male","{Ontario|Welland|Canada}",1950-08-28
"12","Paul Larose","1950-01-01T00:00:00+02:00","1950-11-01","","{Rouyn-Noranda|Canada|Quebec}",1950-11-01
"13","Dennis Giannini","1950-01-01T00:00:00+02:00","1950-07-13","male","{Ontario|Kirkland Lake|Canada}",1950-07-13
"14","Dennis Patterson (ice hockey)","1950-01-01T00:00:00+02:00","1950-01-09","male","{Ontario|Canada|Peterborough Ontario}",1950-01-09
"15","Doug Rombough","1950-01-01T00:00:00+02:00","1950-07-08","male","{Ontario|Canada|Fergus Ontario}",1950-07-08
"16","Ron Anderson (ice hockey born 1950)","1950-01-01T00:00:00+02:00","1950-01-21","","{Moncton|New Brunswick|Canada}",1950-01-21
"17","Ron Grahame","1950-01-01T00:00:00+02:00","1950-06-07","male","{British Columbia|Victoria British Columbia|Canada}",1950-06-07
"18","Ron Low","1950-01-01T00:00:00+02:00","1950-06-21","male","{Manitoba|Birtle Manitoba|Canada}",1950-06-21
"19","Michel Archambault","1950-01-01T00:00:00+02:00","1950-09-27","male","{Saint-Hyacinthe Quebec|Canada|Quebec}",1950-09-27
"20","Mike Conroy (ice hockey)","1950-01-01T00:00:00+02:00","1950-08-28","","{Ontario|North Bay Ontario|Canada}",1950-08-28
"21","Mike Keeler","1950-01-01T00:00:00+02:00","1950-05-21","male","{Ontario|Toronto|Canada}",1950-05-21
"22","Mike Murphy (ice hockey born 1950)","1950-01-01T00:00:00+02:00","1950-09-12","male","{Ontario|Toronto|Canada}",1950-09-12
"23","Mike Stevens (ice hockey born 1950)","1950-01-01T00:00:00+02:00","1950-10-13","male","{Manitoba|Winnipeg|Canada}",1950-10-13
"24","Serge Lajeunesse","1950-01-01T00:00:00+02:00","1950-06-11","","{Canada|Montreal|Quebec}",1950-06-11
"25","Steve Cardwell","1950-01-01T00:00:00+02:00","1950-08-18","male","{Ontario|Toronto|Canada}",1950-08-18
"26","Steve Carlyle","1950-01-01T00:00:00+02:00","1950-03-10","male","{Alberta|Canada|Lacombe Alberta}",1950-03-10
"27","Larry Bignell","1950-01-01T00:00:00+02:00","1950-01-07","male","{Alberta|Edmonton|Canada}",1950-01-07
"28","Larry O'Connor (ice hockey)","1950-01-01T00:00:00+02:00","1950-04-01","male","{Canada|Montreal|Quebec}",1950-04-01
"29","Ed Dyck","1950-01-01T00:00:00+02:00","1950-10-29","male","{Saskatchewan|Warman Saskatchewan|Canada}",1950-10-29
"30","Orest Kindrachuk","1950-01-01T00:00:00+02:00","1950-09-14","","{Alberta|Canada|Nanton Alberta}",1950-09-14
"31","Randy Wyrozub","1950-01-01T00:00:00+02:00","1950-04-08","male","{Alberta|Canada|Lacombe Alberta}",1950-04-08
"32","Ray Martyniuk","1950-01-01T00:00:00+02:00","1950-03-28","male","{Manitoba|Flin Flon|Canada}",1950-03-28
"33","Reggie Leach","1950-01-01T00:00:00+02:00","1950-04-23","male","{Manitoba|Riverton Manitoba|Canada}",1950-04-23
"34","Pierre Paiement","1950-01-01T00:00:00+02:00","1950-09-13","","{Canada|Montreal|Quebec}",1950-09-13
"35","Al McDonough","1950-01-01T00:00:00+02:00","1950-06-06","male","{Ontario|Canada|St. Catharines}",1950-06-06
"36","Rick MacLeish","1950-01-01T00:00:00+02:00","1950-01-03","male","{Ontario|Cannington Ontario|Canada}",1950-01-03
"37","Robert Guindon","1950-01-01T00:00:00+02:00","1950-11-19","male","{Canada|Labelle Quebec|Quebec}",1950-11-19
"38","Terry Holbrook (ice hockey)","1950-01-01T00:00:00+02:00","1950-07-11","male","{Ontario|Canada|Petrolia Ontario}",1950-07-11
"39","Terry Murray","1950-01-01T00:00:00+02:00","1950-07-20","male","{Canada|Quebec|Shawville Quebec}",1950-07-20
"40","Darryl Sittler","1950-01-01T00:00:00+02:00","1950-09-18","male","{Ontario|Kitchener Ontario|Canada}",1950-09-18
"41","Darwin Mott","1950-01-01T00:00:00+02:00","1950-08-19","male","{Saskatchewan|Creelman Saskatchewan|Canada}",1950-08-19
"42","Dave Cressman","1950-01-01T00:00:00+02:00","1950-01-02","male","{Ontario|Kitchener Ontario|Canada}",1950-01-02
"43","Dave Gilmour (ice hockey b. 1950)","1950-01-01T00:00:00+02:00","1950-11-14","male","{Ontario|Canada|Kingston Ontario}",1950-11-14
"44","David Poile","1950-01-01T00:00:00+02:00","1950-02-14","","{Ontario|Toronto|Canada}",1950-02-14
"45","Gilbert Perreault","1950-01-01T00:00:00+02:00","1950-11-13","male","{Victoriaville|Canada|Quebec}",1950-11-13
"46","Gilles Meloche","1950-01-01T00:00:00+02:00","1950-07-12","male","{Canada|Montreal|Quebec}",1950-07-12
"47","Murray Wing","1950-01-01T00:00:00+02:00","1950-10-14","","{Ontario|Canada|Thunder Bay}",1950-10-14
"48","Bernie MacNeil","1950-01-01T00:00:00+02:00","1950-03-07","male","{Ontario|Canada|Greater Sudbury}",1950-03-07
"49","Bill Clement","1950-01-01T00:00:00+02:00","1950-12-20","","{Canada|Buckingham Quebec|Quebec}",1950-12-20
"50","Billy Smith (ice hockey)","1950-01-01T00:00:00+02:00","1950-12-12","","{Canada men's national ice hockey team|Perth Ontario}",1950-12-12
"51","Bob Brown (ice hockey)","1950-01-01T00:00:00+02:00","1950-12-18","male","{Ontario|Toronto|Canada}",1950-12-18
"52","Bob Hurlburt","1950-01-01T00:00:00+02:00","1950-05-01","male","{Ontario|Toronto|Canada}",1950-05-01
"53","Bob Kelly (ice hockey born 1950)","1950-01-01T00:00:00+02:00","1950-11-25","","{Ontario|Oakville Ontario|Canada}",1950-11-25
"54","Bob Roselle","1950-01-01T00:00:00+02:00","1950-10-17","male","{Canada|Montreal|Quebec}",1950-10-17
"55","Bob Stewart (ice hockey)","1950-01-01T00:00:00+02:00","1950-11-10","","{Prince Edward Island|Canada|Charlottetown}",1950-11-10
"56","Bob Warner (ice hockey)","1950-01-01T00:00:00+02:00","1950-12-13","male","{Ontario|Grimsby Ontario|Canada}",1950-12-13
"57","Brian Carlin","1950-01-01T00:00:00+02:00","1950-06-13","","{Alberta|Canada|Calgary}",1950-06-13
"58","Cam Newton (ice hockey)","1950-01-01T00:00:00+02:00","1950-02-25","male","{Ontario|Canada|Peterborough Ontario}",1950-02-25
