"347",4400000,"87-12-23","Helsinki","","Finland","Finland",74,212,2008,3,65,"L","Lehtera","Jori","C","STL",64,7,15,7,8,22,-6,-0.4,34,1424,58273,969.9,15.18,15.17,"26.50%","44.90%","10.00%","0.9","1000","3.03","2.78","52.10%",4,"0.25",100,100,75,67,67,67,7.3,35,5,7,"12",22.4,20.4,"116.9",64,64,80,"-16",8,14,21,29,14,21,29,"3.50%",409,423,409,423,"49.20%","88.20%",81,106,136,130,192,187,107,148,140,135,267,259,0,0,1,1,0,0,0,0,0,0,3,0,4,0,0,0,8,12,0,5,4,7,1,38,16,17,15,13,1,-3,16,0,0,0,0,893,822,663,609,491,451,43.1,36.8,143,111,49,45,30,24,33,35,63,59,456,487,282,360,100,84,54,53,0.5,0.9,1.4,2690.35,127,5.3,"106.1",21.2,0.33
"401",645000,"93-09-23","Helsinki","","Finland","Finland",75,198,2012,6,176,"L","Lindbohm","Petteri","D","STL",7,0,0,0,0,0,-4,-0.1,4,134,5453,90.9,12.98,12.98,"25.10%","0.00%","3.30%","0.875","908","1.32","3.96","25.00%",-4,"-2.64",19,19,12,10,10,10,0.3,0,0,1,"1",47.3,47.9,"0",10,10,7,"3",2,1,1,5,1,1,5,"5.50%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,7,2,1,2,1,-1,-0.6,2,0,0,0,0,98,91,76,65,60,48,3.9,4,11,13,2,6,3,4,2,5,5,9,44,39,40,41,8,4,7,4,-0.1,-0.1,-0.2,270.98,19,5.5,"124.8",0.8,0.11
"403",4500000,"95-09-02","Tampere","","Finland","Finland",75,213,2013,1,2,"L","Barkov","Aleksander","C","FLA",61,21,31,21,10,52,13,5.2,10,1469,71010,1182.5,19.4,19.4,"32.40%","74.30%","9.40%","0.919","1014","3.55","2.13","62.50%",28,"1.42",226,226,189,142,142,142,15.2,57,8,11,"19",27.3,26.9,"291.8",39,39,90,"-51",47,30,49,30,30,49,30,"3.60%",476,547,476,547,"46.50%","84.50%",123,149,163,182,190,216,133,184,173,150,293,348,2,6,5,0,0,0,3,0,6,2,2,0,8,0,0,0,47,12,1,29,27,8,0,65,5,17,4,17,12,11,5,0,0,0,0,1269,841,986,692,741,521,64.8,43.9,219,151,70,42,53,44,47,32,100,76,558,653,254,329,173,151,63,66,4.8,2.1,6.9,2469.46,79,17.6,"107.1",58.7,0.96
"432",875000,"93-05-31","Pori","","Finland","Finland",75,205,2011,1,16,"R","Armia","Joel","RW","WPG",57,10,9,6,3,19,-8,-2,20,1226,51769,847.6,15.13,15.05,"26.90%","67.90%","7.20%","0.913","985","1.98","3.11","38.90%",-16,"-1.13",191,195,140,108,111,111,12.1,42,9,26,"35",28.2,25.8,"158.6",68,66,48,"18",32,19,42,30,17,39,28,"3.20%",3,4,3,4,"42.90%","0.90%",0,0,2,3,1,1,2,0,0,3,1,1,0,0,1,0,0,0,0,0,0,1,1,1,7,1,4,3,24,12,3,5,9,7,5,70,10,14,10,13,4,3.5,10,0,0,0,0,682,871,517,655,387,505,34.9,43.7,118,136,28,44,29,42,51,43,80,85,414,392,391,284,117,98,47,41,0.8,0.4,1.2,2303.64,118,11,"109.9",17.2,0.31
"439",3200000,"92-02-26","Oulu","","Finland","Finland",70,184,2010,1,9,"L","Granlund","Mikael","C","MIN",81,26,43,31,12,69,23,16.5,12,1919,91487,1522,18.82,18.81,"31.60%","73.40%","12.50%","0.915","1040","3.71","2.48","59.90%",31,"1.22",318,317,244,177,177,177,19.7,69,15,18,"33",28.8,24.8,"455.7",50,50,140,"-90",67,33,43,50,33,43,50,"3.70%",16,17,16,17,"48.50%","2.10%",4,4,1,4,11,9,4,7,5,3,9,9,1,5,4,4,0,1,2,2,1,0,0,0,21,1,8,7,51,18,3,8,16,7,3,122,6,20,6,17,14,10,6,0,0,0,0,1417,1367,1080,1027,750,740,76.6,54,265,155,94,63,68,39,55,38,123,77,873,722,268,429,155,169,64,82,6.2,2.3,8.5,3295.08,112,15.5,"109.7",64.8,0.8
"451",792500,"94-06-06","Oulu","","Finland","Finland",73,186,2015,7,189,"L","Nutivaara","Markus","D","CBJ",66,2,5,1,4,7,7,-3.6,6,1187,52322,871.2,13.22,13.21,"26.00%","21.90%","7.90%","0.942","1020","2.2","1.72","56.10%",7,"0.48",134,134,90,66,66,66,2.8,6,2,2,"4",48.1,47.5,"24.2",36,36,57,"-21",24,20,9,38,20,9,38,"4.80%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,19,2,0,13,22,0,0,29,3,2,3,1,-1,3.4,3,0,0,0,0,759,797,567,607,407,430,36.7,40.6,133,148,32,25,22,34,27,37,49,71,354,383,324,286,100,79,46,43,-0.1,2.3,2.2,2474.78,80,15,"107.2",9.7,0.15
"519",850000,"93-04-16","Oulu","","Finland","Finland",72,183,2011,2,45,"L","Granlund","Markus","C","VAN",69,19,13,8,5,32,-19,-6.7,14,1621,71657,1192.3,17.3,17.3,"29.10%","68.10%","8.40%","0.896","980","2.37","2.97","44.30%",-12,"-0.6",220,220,174,122,122,122,15.5,62,13,16,"29",27.4,25.5,"163.8",32,32,61,"-29",52,18,33,11,18,33,11,"1.10%",40,61,40,61,"39.60%","8.50%",9,18,10,16,21,27,18,24,7,19,27,41,1,2,3,0,0,0,1,4,0,1,1,1,11,1,2,16,33,11,7,10,18,2,2,72,7,14,7,12,7,7.5,7,0,0,0,0,1068,988,764,770,557,566,49.9,51.9,181,183,47,59,39,28,48,42,87,70,624,560,319,395,139,130,44,71,2.4,0.8,3.2,2899.84,57,9.3,"103.5",31.7,0.46
"544",925000,"96-10-29","Nousiainen","","Finland","Finland",76,211,2015,1,10,"L","Rantanen","Mikko","RW","COL",75,20,18,10,8,38,-25,-7.2,22,1667,81262,1347,18.03,18.02,"32.10%","56.70%","8.60%","0.901","988","2.98","3.03","49.60%",-1,"-0.04",243,242,191,133,133,133,14.2,52,9,13,"22",25.3,26,"172.1",29,29,73,"-44",58,32,49,33,32,49,33,"2.80%",29,21,29,21,"58.00%","3.50%",2,1,1,2,26,18,11,3,9,10,18,10,1,5,2,0,0,1,0,0,4,3,2,0,11,0,2,3,53,19,2,14,18,7,6,67,11,19,10,20,8,10.4,11,0,0,0,0,1433,1183,1070,924,778,690,66.4,57.4,207,188,67,68,43,47,48,55,91,102,778,660,304,299,161,173,63,73,2.8,0.8,3.6,2849.34,84,7.1,"116.5",33.5,0.45
"547",5e+06,"84-03-20","Vantaa","","Finland","Finland",72,196,2002,3,95,"L","Filppula","Valtteri","C/LW","PHI/T.B",79,12,30,21,9,42,-1,-4.1,26,1773,82505,1374.5,17.4,17.4,"29.80%","65.60%","9.40%","0.904","998","2.79","2.97","48.50%",-4,"-0.17",147,147,128,97,97,97,9.9,33,9,8,"17",27.3,24.4,"400.9",26,26,83,"-57",31,39,30,39,39,30,39,"3.10%",556,606,556,606,"47.80%","82.90%",201,245,194,221,161,140,172,187,187,188,322,368,0,2,1,2,0,0,2,0,0,0,3,0,7,0,2,6,23,13,1,5,10,11,1,56,13,11,13,10,-2,0.7,13,0,0,0,0,1213,1265,929,958,679,709,58.9,62.1,181,212,64,68,47,44,51,70,98,114,676,726,393,485,217,121,84,84,2.1,1.6,3.7,3231.48,91,4.3,"108.2",32.9,0.42
"556",925000,"95-12-03","Jyv_skyl_","","Finland","Finland",71,195,2014,1,14,"R","Honka","Julius","D","DAL",16,1,4,4,0,5,-4,-1.1,4,346,16194,267.7,16.87,16.82,"29.90%","41.70%","7.60%","0.873","949","2.69","3.14","46.20%",-2,"-0.45",61,61,44,34,34,34,1.3,1,1,0,"1",52.8,51.8,"75.9",9,9,19,"-10",10,9,6,15,9,6,15,"7.20%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,7,3,0,0,24,2,2,2,2,0,1.5,2,0,0,0,0,290,207,224,145,158,110,13,10.9,42,40,12,14,11,13,5,6,16,19,131,126,79,89,48,31,10,13,0.3,0.2,0.5,628.33,28,7.5,"111.4",8.9,0.55
"583",925000,"98-04-19","Tampere","","Finland","Finland",77,206,2016,1,2,"R","Laine","Patrik","RW","WPG",73,36,28,13,15,64,7,-2.9,26,1633,78457,1288.1,17.92,17.82,"32.30%","70.30%","13.10%","0.903","1034","4.24","2.75","60.70%",32,"1.49",349,360,276,198,204,204,14.6,32,4,27,"31",39.9,37.6,"181.4",80,80,61,"19",80,55,43,33,55,43,33,"3.10%",0,3,0,3,"0.00%","0.30%",0,1,0,0,0,2,0,1,0,1,0,1,1,5,5,3,0,0,0,0,8,8,2,0,18,1,4,19,56,4,1,50,36,5,0,108,13,13,13,10,0,-0.6,13,0,0,0,0,1281,1059,980,799,693,606,69.2,49.7,224,179,91,59,49,35,83,78,132,113,568,620,421,359,194,176,78,87,7.4,1.5,8.9,2705.08,139,9.5,"109",57.4,0.8
"602",575000,"93-03-09","Raahe","","Finland","Finland",71,203,2011,2,52,"L","Salomaki","Miikka","RW","NSH",5,0,0,0,0,0,-1,-0.2,2,84,3664,61,12.22,12.21,"22.60%","0.00%","5.90%","0.909","968","0.98","2.95","25.00%",-2,"-1.97",8,8,5,3,3,3,0.4,1,1,1,"2",28.7,30.6,"0",14,14,5,"9",2,0,1,9,0,1,9,"12.90%",0,0,0,0,"0.00%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,1,1,0,0,1,0,0,0,0,35,70,21,51,17,33,1.5,2.8,5,9,1,3,4,1,2,0,6,1,24,31,40,25,5,8,2,4,-0.2,0,-0.1,209.31,25,15,"103.3",-0.6,-0.13
